open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1504108800000,379.38000000,389.80000000,378.72000000,383.38000000,678.10192000,1504123199999,260552.81624920,669,209.06540000,80547.63732560,0
1504123200000,385.34000000,387.29000000,380.74000000,385.93000000,594.32385000,1504137599999,228183.07701600,632,218.15226000,83832.62856470,0
1504137600000,384.64000000,384.64000000,377.78000000,383.51000000,676.39980000,1504151999999,258312.25029670,816,267.20206000,102055.32515060,0
1504152000000,383.66000000,385.94000000,379.21000000,383.14000000,482.67689000,1504166399999,184822.14799780,462,169.12332000,64867.30513110,0
1504166400000,381.89000000,387.42000000,378.85000000,387.42000000,788.36410000,1504180799999,301074.69781010,712,271.80475000,104047.34412930,0
1504180800000,385.82000000,389.36000000,383.48000000,383.76000000,905.28394000,1504195199999,350078.63853620,1000,320.88738000,124184.39035650,0
1504195200000,384.38000000,387.39000000,383.13000000,384.45000000,878.88372000,1504209599999,338377.82205180,857,186.15159000,71778.81061890,0
1504209600000,385.10000000,388.25000000,383.19000000,384.79000000,704.26010000,1504223999999,271775.83757400,727,217.02471000,83875.43549760,0
1504224000000,386.44000000,394.39000000,384.79000000,390.86000000,752.09698000,1504238399999,293527.72573060,756,201.11884000,78571.17478880,0
1504238400000,392.65000000,394.27000000,383.18000000,388.40000000,754.44472000,1504252799999,292784.99024320,611,341.22627000,132517.36689470,0
1504252800000,389.48000000,393.08000000,387.46000000,389.64000000,865.19825000,1504267199999,337564.14761690,793,292.48529000,114234.03778160,0
1504267200000,389.56000000,391.20000000,385.88000000,387.01000000,827.84309000,1504281599999,322013.58387910,768,289.60850000,112719.52876310,0
1504281600000,387.91000000,393.40000000,386.05000000,388.08000000,797.61671000,1504295999999,310631.46169710,864,350.21656000,136566.20659240,0
1504296000000,389.62000000,394.02000000,388.08000000,388.46000000,201.48459000,1504310399999,78705.70459920,332,89.39985000,35022.63495070,0
1504310400000,388.58000000,394.32000000,373.66000000,378.52000000,916.21546000,1504324799999,351390.28953600,1049,280.88831000,108267.62481950,0
1504324800000,378.51000000,379.60000000,347.00000000,363.70000000,1906.75794000,1504339199999,694816.54111070,2006,578.99789000,210695.12824830,0
1504339200000,364.83000000,364.84000000,350.42000000,357.00000000,1296.25993000,1504353599999,462342.32154960,1140,387.42379000,138038.06714260,0
