open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
1503604800000,4216.10000000,4371.68000000,4193.17000000,4316.01000000,110.65595500,1503619199999,471782.14806861,738,25.42370800,108945.02297147,0
1503619200000,4316.01000000,4370.00000000,4295.75000000,4312.69000000,141.10452600,1503633599999,611984.04895229,1511,28.50808800,123930.30981983,0
1503633600000,4312.69000000,4362.00000000,4267.50000000,4329.00000000,101.50954300,1503647999999,437863.45460033,925,18.26273600,79005.68235136,0
1503648000000,4317.81000000,4361.28000000,4298.74000000,4361.27000000,74.43306000,1503662399999,322437.97728068,694,15.95957100,69337.48965379,0
1503662400000,4361.27000000,4422.29000000,4261.13000000,4394.36000000,164.20665600,1503676799999,710205.00769493,2407,23.93043100,103694.08634920,0
1503676800000,4394.36000000,4453.91000000,4284.11000000,4307.17000000,52.39933000,1503691199999,230331.50713670,518,8.16205100,35850.76446313,0
1503691200000,4326.00000000,4365.00000000,4247.48000000,4280.68000000,39.95962500,1503705599999,171815.35369834,499,5.27509700,22758.80310914,0
1503705600000,4280.71000000,4315.00000000,4228.99000000,4297.94000000,41.63856800,1503719999999,178220.54844697,425,5.69084600,24444.92494631,0
1503720000000,4297.94000000,4319.70000000,4252.44000000,4319.70000000,28.70728800,1503734399999,123253.55557526,264,7.44095800,32017.76138539,0
1503734400000,4319.70000000,4319.70000000,4260.88000000,4288.72000000,36.15308100,1503748799999,155418.86316773,242,6.65041700,28663.45445840,0
1503748800000,4288.72000000,4306.74000000,4221.14000000,4275.00000000,34.65498400,1503763199999,147798.52539778,364,11.24579900,48069.60621030,0
1503763200000,4275.00000000,4351.32000000,4212.41000000,4293.52000000,47.43110800,1503777599999,202533.71619518,550,16.11948900,69037.42708171,0
1503777600000,4293.52000000,4367.00000000,4279.00000000,4337.44000000,39.52303900,1503791999999,170640.52454918,415,9.04263200,39130.62642034,0
1503792000000,4332.51000000,4400.00000000,4314.91000000,4314.91000000,62.98038800,1503806399999,274219.29999526,731,18.20244800,79393.00611610,0
1503806400000,4329.19000000,4370.85000000,4293.42000000,4313.84000000,47.47819900,1503820799999,205503.40860345,500,7.93059100,34370.62024775,0
1503820800000,4331.29000000,4352.34000000,4285.56000000,4323.37000000,57.13868200,1503835199999,246810.84707828,863,20.35779400,88196.52071802,0
1503835200000,4340.00000000,4340.00000000,4285.54000000,4325.00000000,35.27742400,1503849599999,152269.97962719,448,6.56283500,28386.25051276,0
1503849600000,4290.01000000,4386.78000000,4290.01000000,4368.41000000,72.11126000,1503863999999,313605.68114778,588,30.33178400,132177.57760319,0
1503864000000,4336.12000000,4386.79000000,4309.60000000,4310.01000000,75.70663200,1503878399999,329170.84557361,540,18.26590600,79918.20417433,0
1503878400000,4310.01000000,4330.36000000,4239.36000000,4239.37000000,73.29535500,1503892799999,314379.26640406,629,12.49560200,53849.44762769,0
1503892800000,4239.36000000,4297.11000000,4124.54000000,4261.90000000,94.39719800,1503907199999,396586.34938988,913,47.61399900,200858.55109728,0
1503907200000,4261.90000000,4365.40000000,4226.93000000,4308.00000000,121.72203400,1503921599999,521484.88036312,670,38.24161800,164794.32887094,0
1503921600000,4309.00000000,4347.00000000,4271.03000000,4273.59000000,121.85855100,1503935999999,524244.46820398,779,24.12777000,104303.25268809,0
1503936000000,4317.20000000,4370.45000000,4273.59000000,4321.65000000,107.22567700,1503950399999,464100.18749907,757,9.15892900,39831.37853162,0
1503950400000,4321.65000000,4399.82000000,4290.18000000,4386.69000000,85.34280100,1503964799999,370865.37393942,601,11.14986400,48727.24729572,0
1503964800000,4353.65000000,4386.69000000,4314.35000000,4376.99000000,78.86207400,1503979199999,343403.76715806,618,15.82229300,69206.25729621,0
1503979200000,4363.48000000,4404.07000000,4313.55000000,4329.02000000,128.45695900,1503993599999,560654.32401162,894,31.05963800,136160.41910731,0
1503993600000,4328.12000000,4417.61000000,4328.12000000,4368.50000000,88.05142900,1504007999999,383494.55741863,701,16.67762100,72955.90404663,0
1504008000000,4368.50000000,4625.85000000,4347.59000000,4570.00000000,128.76457100,1504022399999,578421.24775572,839,37.76182300,171204.94731794,0
1504022400000,4569.65000000,4584.00000000,4496.95000000,4555.55000000,127.21423000,1504036799999,576878.63766550,751,25.85803400,117677.81217246,0
1504036800000,4540.00000000,4624.99000000,4535.09000000,4587.48000000,52.19576500,1504051199999,239631.20182038,356,16.26315800,74776.68074603,0
1504051200000,4564.52000000,4619.99000000,4527.45000000,4583.61000000,119.42503000,1504065599999,547729.40792655,771,12.76524800,58703.78257008,0
1504065600000,4600.00000000,4647.51000000,4550.01000000,4550.02000000,149.55145100,1504079999999,687373.88670707,787,31.59110200,145750.54088494,0
1504080000000,4550.00000000,4597.00000000,4416.01000000,4498.35000000,176.15182800,1504094399999,794966.16105540,1337,57.17184000,258275.01388180,0
1504094400000,4537.00000000,4592.76000000,4416.16000000,4546.77000000,163.01348100,1504108799999,740107.03804100,1200,58.28380700,265961.08849956,0
1504108800000,4555.00000000,4609.92000000,4532.80000000,4536.82000000,84.84527800,1504123199999,387465.99565689,721,16.29861500,74755.97196937,0
1504123200000,4536.82000000,4579.91000000,4516.87000000,4555.14000000,115.48170300,1504137599999,526072.19727432,735,19.95164000,91173.83970308,0
1504137600000,4555.14000000,4606.00000000,4555.14000000,4593.66000000,109.65088100,1504151999999,502542.55326566,814,21.24280200,97476.01131777,0
1504152000000,4596.54000000,4628.12000000,4572.64000000,4592.16000000,102.99892500,1504166399999,473170.50313892,630,10.38480200,47821.15132303,0
1504166400000,4603.58000000,4678.57000000,4572.64000000,4656.67000000,111.87481100,1504180799999,516656.43133365,652,21.14636300,97933.04863915,0
1504180800000,4674.97000000,4685.55000000,4631.41000000,4648.82000000,106.99719500,1504195199999,499150.40445549,899,30.60983300,143098.32887941,0
1504195200000,4648.82000000,4745.42000000,4638.98000000,4698.77000000,66.80316300,1504209599999,313070.97548359,603,29.56175300,138691.07484036,0
1504209600000,4688.47000000,4724.89000000,4666.84000000,4724.89000000,58.63182700,1504223999999,275287.85633453,563,19.00177200,89322.91890262,0
1504224000000,4689.89000000,4767.00000000,4689.89000000,4714.73000000,75.64797800,1504238399999,357791.71792980,623,23.54104800,111765.17181294,0
1504238400000,4714.73000000,4734.99000000,4654.88000000,4707.50000000,101.22613400,1504252799999,475248.79840836,541,11.09909400,52212.74541346,0
1504252800000,4715.00000000,4798.46000000,4708.09000000,4775.00000000,130.96665500,1504267199999,621598.36937374,810,27.87413500,132414.87942116,0
1504267200000,4775.00000000,4839.92000000,4725.81000000,4803.83000000,68.88771200,1504281599999,328391.46774726,518,16.25931100,77822.23938244,0
1504281600000,4756.46000000,4815.67000000,4738.94000000,4813.24000000,96.95162300,1504295999999,463263.55204882,893,14.84757000,71123.26954435,0
1504296000000,4808.79000000,4885.55000000,4760.01000000,4834.91000000,86.98626400,1504310399999,418871.65373818,615,25.03894500,120916.12532299,0
1504310400000,4796.16000000,4939.19000000,4764.88000000,4788.07000000,145.53852800,1504324799999,706334.73106411,1036,57.07112200,277235.82578057,0
1504324800000,4765.01000000,4814.49000000,4473.35000000,4697.71000000,178.76960800,1504339199999,829631.97200522,1708,91.28187900,423365.20995340,0
1504339200000,4701.02000000,4709.40000000,4549.77000000,4630.01000000,142.23987600,1504353599999,657144.19168782,1097,45.67762000,211553.37352716,0
1504353600000,4669.75000000,4675.00000000,4354.61000000,4460.19000000,187.30448500,1504367999999,843199.13422133,1300,75.69250900,340724.58123853,0
1504368000000,4465.12000000,4554.98000000,4377.43000000,4509.77000000,139.61552200,1504382399999,625129.00160315,980,42.65496300,190833.32959699,0
1504382400000,4509.77000000,4509.96000000,4286.87000000,4472.14000000,135.68057600,1504396799999,596284.91423537,1354,66.82177000,294621.76532070,0
1504396800000,4508.50000000,4618.40000000,4467.88000000,4569.54000000,112.56875800,1504411199999,512530.06458622,1012,47.18065700,215101.88523211,0
1504411200000,4584.78000000,4714.76000000,4584.78000000,4620.87000000,119.75288400,1504425599999,558337.04935228,937,42.73811300,199571.64851088,0
1504425600000,4610.52000000,4674.86000000,4456.80000000,4486.00000000,103.21351900,1504439999999,471069.62343805,1042,33.16705200,151307.81697271,0
1504440000000,4475.23000000,4557.25000000,4298.33000000,4384.15000000,170.27151900,1504454399999,746548.00705860,1470,72.89517000,320462.29227562,0
1504454400000,4351.02000000,4530.00000000,4345.01000000,4529.00000000,106.29429700,1504468799999,475155.63765136,903,32.21492800,144105.38291622,0
1504468800000,4529.00000000,4583.84000000,4445.15000000,4509.08000000,79.11522100,1504483199999,357412.37021530,658,30.73861600,139095.66568940,0
1504483200000,4505.00000000,4527.49000000,4340.50000000,4340.51000000,81.33112200,1504497599999,359550.90608499,773,25.24894400,111946.49421763,0
1504497600000,4340.53000000,4493.15000000,4052.00000000,4186.96000000,275.91359400,1504511999999,1189009.11616251,1616,101.98017200,441055.13826096,0
1504512000000,4102.05000000,4437.68000000,4075.00000000,4153.00000000,464.68003800,1504526399999,1991735.49125297,2493,216.54128300,930426.87802512,0
1504526400000,4153.00000000,4311.14000000,4014.76000000,4015.03000000,276.24122700,1504540799999,1148497.80654432,1997,122.46421800,512214.60380079,0
1504540800000,4015.03000000,4224.99000000,3972.51000000,4203.67000000,155.04256600,1504555199999,629753.80805287,1131,60.25440300,245807.07461521,0
1504555200000,4187.00000000,4300.95000000,4100.11000000,4100.11000000,141.43606700,1504569599999,591400.36199208,1307,52.11183100,218912.42399693,0
1504569600000,4106.97000000,4121.33000000,3603.00000000,3988.04000000,286.73729500,1504583999999,1124065.32804944,2349,124.31296500,491199.97879329,0
1504584000000,3996.24000000,4190.40000000,3943.10000000,4190.40000000,213.83442100,1504598399999,863207.89625731,2062,81.51473100,329482.20367227,0
1504598400000,4190.00000000,4248.60000000,4050.00000000,4246.82000000,222.11440900,1504612799999,920695.13763823,1777,98.20795900,407817.47862320,0
1504612800000,4248.64000000,4298.00000000,4116.65000000,4151.00000000,245.07646500,1504627199999,1038279.28745130,1804,107.77447300,457049.63742323,0
1504627200000,4140.00000000,4459.55000000,4096.06000000,4442.48000000,125.58457500,1504641599999,540714.49592313,1091,65.68710100,282354.63357668,0
1504641600000,4442.09000000,4484.99000000,4351.01000000,4366.47000000,135.59099200,1504655999999,596491.04143130,1001,55.97883600,246393.90752379,0
1504656000000,4366.49000000,4522.81000000,4365.73000000,4430.02000000,187.42056900,1504670399999,836042.03160931,2090,95.93009600,429028.95978482,0
