,open_time,o,h,l,c,v,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2017-08-18 07:59:59.999,1502928000000,301.13000000,312.18000000,298.00000000,302.00000000,7030.71034000,1503014399999,2154655.30035660,4522,6224.58999000,1908705.36853020,0
2017-08-19 07:59:59.999,1503014400000,302.00000000,311.79000000,283.94000000,293.96000000,9537.84646000,1503100799999,2858946.50935390,5658,7452.43542000,2240813.26122640,0
2017-08-20 07:59:59.999,1503100800000,293.31000000,299.90000000,278.00000000,290.91000000,2146.19773000,1503187199999,620022.58986170,1795,1537.97550000,444713.61220860,0
2017-08-21 07:59:59.999,1503187200000,289.41000000,300.53000000,282.85000000,299.10000000,2510.13871000,1503273599999,742847.89455990,2038,2186.68739000,647506.06202050,0
2017-08-22 07:59:59.999,1503273600000,299.10000000,346.52000000,294.60000000,323.29000000,5219.44542000,1503359999999,1689472.34121400,3925,4004.19967000,1297977.42311420,0
2017-08-23 07:59:59.999,1503360000000,321.04000000,330.41000000,144.21000000,309.80000000,7956.35088000,1503446399999,2454425.80331370,6577,4433.78132000,1364472.48833300,0
2017-08-24 07:59:59.999,1503446400000,312.25000000,324.99000000,309.41000000,315.74000000,8665.72569000,1503532799999,2753464.94504080,8540,2282.23633000,728206.91761490,0
2017-08-25 07:59:59.999,1503532800000,315.74000000,328.04000000,314.01000000,323.42000000,6753.27192000,1503619199999,2159417.11415370,6495,1901.90029000,610929.14716790,0
2017-08-26 07:59:59.999,1503619200000,323.42000000,338.28000000,323.42000000,327.24000000,7125.96962000,1503705599999,2354162.03829400,7452,2595.82561000,859314.68351840,0
2017-08-27 07:59:59.999,1503705600000,327.24000000,335.44000000,323.41000000,330.79000000,4877.68521000,1503791999999,1601994.37731660,4400,941.99655000,311132.26310030,0
2017-08-28 07:59:59.999,1503792000000,332.18000000,348.13000000,330.73000000,348.13000000,4635.43715000,1503878399999,1554477.35816030,4973,1166.20029000,392130.11519860,0
2017-08-29 07:59:59.999,1503878400000,348.11000000,351.00000000,331.95000000,346.00000000,4279.18170000,1503964799999,1463758.16910410,4526,1114.26279000,383473.98891030,0
2017-08-30 07:59:59.999,1503964800000,347.00000000,377.60000000,346.00000000,374.70000000,3032.13425000,1504051199999,1102069.62058090,3265,923.16784000,334768.81046930,0
2017-08-31 07:59:59.999,1504051200000,374.70000000,393.71000000,362.05000000,385.93000000,4446.59608000,1504137599999,1679526.21251150,4812,1285.37799000,487837.74475770,0
2017-09-01 07:59:59.999,1504137600000,384.64000000,389.36000000,377.78000000,384.79000000,4435.86855000,1504223999999,1704441.39426660,4574,1432.19381000,550808.61088400,0
2017-09-02 07:59:59.999,1504224000000,386.44000000,394.39000000,383.18000000,388.46000000,4198.68434000,1504310399999,1635227.61376610,4124,1564.05531000,609630.94977130,0
2017-09-03 07:59:59.999,1504310400000,388.58000000,394.32000000,320.08000000,343.14000000,8240.32724000,1504396799999,2904008.46138610,8217,2460.66776000,868487.28339190,0
2017-09-04 07:59:59.999,1504396800000,343.56000000,367.28000000,320.08000000,341.77000000,5253.62211000,1504483199999,1801702.61780290,6153,2240.91753000,767938.25217760,0
2017-09-05 07:59:59.999,1504483200000,339.29000000,344.55000000,267.94000000,283.77000000,6737.81061000,1504569599999,2002446.18180200,7403,2954.16805000,877011.10666470,0
2017-09-06 07:59:59.999,1504569600000,286.81000000,321.52000000,235.55000000,312.09000000,8344.41924000,1504655999999,2397490.91783860,8999,4312.97282000,1251958.99131160,0
2017-09-07 07:59:59.999,1504656000000,313.29000000,336.34000000,312.09000000,335.00000000,5486.30988000,1504742399999,1793962.85849940,7089,2183.65363000,713126.10171990,0
2017-09-08 07:59:59.999,1504742400000,335.01000000,342.50000000,320.17000000,334.49000000,3103.89745000,1504828799999,1027135.68695240,2635,1321.09841000,438034.17329640,0
2017-09-09 07:59:59.999,1504828800000,334.49000000,335.10000000,272.00000000,302.99000000,4915.75693000,1504915199999,1494309.88661630,3227,2306.94838000,698362.84939540,0
2017-09-10 07:59:59.999,1504915200000,300.01000000,307.00000000,281.66000000,296.74000000,2740.58822000,1505001599999,813750.35893590,1956,1755.91508000,520754.91457350,0
2017-09-11 07:59:59.999,1505001600000,296.72000000,302.78000000,261.03000000,293.50000000,4156.45099000,1505087999999,1181903.77219990,2494,2282.40311000,651266.45803050,0
2017-09-12 07:59:59.999,1505088000000,293.51000000,304.98000000,285.21000000,297.30000000,4829.64647000,1505174399999,1436811.81615690,3490,2412.24221000,718382.75216320,0
2017-09-13 07:59:59.999,1505174400000,297.78000000,316.46000000,286.01000000,293.96000000,5176.31402000,1505260799999,1573452.41245190,5279,2207.60465000,671349.25426970,0
2017-09-14 07:59:59.999,1505260800000,293.93000000,294.50000000,257.05000000,276.91000000,6451.22836000,1505347199999,1761080.89760690,4527,3264.55673000,890399.36959740,0
2017-09-15 07:59:59.999,1505347200000,275.76000000,283.77000000,215.00000000,215.21000000,12601.95676000,1505433599999,3110767.78056470,8166,4455.23882000,1100931.14542670,0
2017-09-16 07:59:59.999,1505433600000,217.00000000,270.93000000,192.00000000,253.00000000,14223.89530000,1505519999999,3319311.82673500,9198,5945.80760000,1386660.03680270,0
2017-09-17 07:59:59.999,1505520000000,255.99000000,271.81000000,235.51000000,249.31000000,10362.06011000,1505606399999,2647152.37237080,8859,3866.60141000,995005.32670450,0
2017-09-18 07:59:59.999,1505606400000,249.32000000,264.39000000,239.02000000,257.55000000,4614.53337000,1505692799999,1149704.29492940,5277,1442.00382000,360268.47386080,0
2017-09-19 07:59:59.999,1505692800000,257.53000000,306.22000000,257.11000000,294.57000000,4125.97051000,1505779199999,1182937.63357400,3440,2342.68408000,669740.52149880,0
2017-09-20 07:59:59.999,1505779200000,296.00000000,300.00000000,277.41000000,284.00000000,1869.90852000,1505865599999,535773.56520010,1896,789.82937000,226839.70654210,0
2017-09-21 07:59:59.999,1505865600000,284.01000000,294.00000000,275.91000000,282.00000000,1060.56734000,1505951999999,302739.73375310,1431,566.64637000,162290.41858720,0
