o,h,l,c,v,qav,num_trades
4610.52,4674.86,4456.8,4486.0,103.213519,471069.62343805,1042.0
4475.23,4557.25,4298.33,4384.15,170.271519,746548.0070586,1470.0
4351.02,4530.0,4345.01,4529.0,106.294297,475155.63765136,903.0
4529.0,4583.84,4445.15,4509.08,79.115221,357412.3702153,658.0
4505.0,4527.49,4340.5,4340.51,81.331122,359550.90608499,773.0
4340.53,4493.15,4052.0,4186.96,275.913594,1189009.11616251,1616.0
4102.05,4437.68,4075.0,4153.0,464.680038,1991735.49125297,2493.0
4153.0,4311.14,4014.76,4015.03,276.241227,1148497.80654432,1997.0
4015.03,4224.99,3972.51,4203.67,155.042566,629753.80805287,1131.0
4187.0,4300.95,4100.11,4100.11,141.436067,591400.36199208,1307.0
4106.97,4121.33,3603.0,3988.04,286.737295,1124065.32804944,2349.0
3996.24,4190.4,3943.1,4190.4,213.834421,863207.89625731,2062.0
4190.0,4248.6,4050.0,4246.82,222.114409,920695.13763823,1777.0
4248.64,4298.0,4116.65,4151.0,245.076465,1038279.2874513,1804.0
4140.0,4459.55,4096.06,4442.48,125.584575,540714.49592313,1091.0
4442.09,4484.99,4351.01,4366.47,135.590992,596491.0414313,1001.0
4366.49,4522.81,4365.73,4430.02,187.420569,836042.03160931,2090.0
4448.1,4505.96,4335.26,4461.29,166.307942,734060.92994898,1510.0
4476.13,4597.79,4469.82,4548.13,175.29482,793406.98682728,1753.0
4544.59,4619.47,4422.28,4619.43,261.596797,1185456.99647709,2560.0
4582.01,4641.17,4516.139999999999,4619.6,139.17019749999997,631418.0535288301,1301.5
4619.43,4662.87,4610.0,4619.77,16.743598,77379.11058057,43.0
4619.77,4661.93,4438.19,4484.03,87.175086,393294.50278117,411.0
4489.48,4561.9,4452.0,4510.25,65.944247,297836.04453649,431.0
4475.01,4649.92,4458.0,4613.94,92.510277,422327.08597411,572.0
4616.79,4759.25,4587.65,4755.0,165.209682,771294.05530707,986.0
4755.0,4788.59,4672.35,4754.21,52.128252,246704.49904326,326.0
4716.61,4752.12,4586.13,4691.61,37.462431,174338.94874105,344.0
4691.66,4735.39,4586.13,4605.05,45.900903,212248.6652133,371.0
4633.47,4633.47,4587.08,4619.01,44.83,206873.49632987,382.0
4625.36,4699.77,4611.48,4647.53,36.305425,169014.14200082,254.0
4653.92,4690.83,4028.93,4348.65,492.155341,2109067.74588639,1609.0
4330.68,4396.49,4190.0,4190.01,225.127696,965859.39445523,938.0
4195.87,4334.15,4060.0,4282.8,287.935681,1203463.78250776,1179.0
4282.8,4338.28,4150.06,4242.01,204.100968,863722.63956162,990.0
4254.44,4426.62,4200.02,4321.52,119.28349,515861.57125896,694.0
4336.19,4345.38,4262.75,4327.63,59.71621,257308.09212237,390.0
4331.82,4400.6,4245.94,4276.0,124.778,538079.14939324,608.0
4276.0,4281.32,4159.64,4253.7,100.390215,424639.00316748,580.0
4267.51,4300.0,4241.25,4258.81,50.514069,215773.01018331,515.0
4258.81,4279.7,4087.62,4144.0,97.962869,408289.8525518,578.0
4144.0,4149.0,3801.0,3988.95,208.628935,833080.28133361,834.0
3988.89,4100.0,3900.05,4098.79,105.952623,426297.26514777,510.0
4069.43,4135.48,4043.17,4094.93,80.238497,328349.09300526,448.0
4086.92,4283.0,4072.45,4274.32,103.909898,437468.94007686,528.0
4269.36,4274.32,4100.0,4130.37,63.680453,266886.37607681,537.0
4153.62,4334.43,4098.91,4312.05,234.255157,995569.74979276,1117.0
4320.46,4325.99,4101.32,4178.73,191.225188,803505.46020881,889.0
4186.88,4221.63,4115.39,4191.53,69.239857,289675.95585684,581.0
4191.54,4313.18,4174.97,4251.29,88.422507,375730.14714415,601.0
4246.43,4280.0,4158.84,4182.27,86.75553,366294.16517112,635.0
4187.99,4225.0,4158.85,4208.47,30.090826,126067.28432779,405.0
4208.6,4305.01,4201.9,4294.25,92.676353,394677.90182919,1052.0
4294.54,4394.59,4279.77,4361.0,152.587684,662988.89908967,1382.0
4361.04,4373.67,4228.5,4340.1,99.700796,429374.12544912,782.0
4343.01,4345.92,4230.0,4258.72,189.740543,808614.91910202,1327.0
4249.49,4280.0,4040.8,4165.5,284.982429,1180531.31083914,1406.0
4158.27,4202.53,4101.69,4163.72,59.942514,249003.46698038,552.0
4159.72,4165.38,3916.0,3936.84,186.044927,748504.10483702,1105.0
3933.21,3991.01,3796.8,3933.76,193.793146,756284.45117731,793.0
3914.01,3970.0,3820.0,3832.0,136.033476,527009.53039618,805.0
3831.01,3976.19,3760.0,3795.0,208.447245,800215.07967988,1422.0
3775.47,3991.01,3765.13,3879.81,136.246089,531095.39018083,584.0
3879.81,3991.01,3845.03,3944.69,52.897662,207257.36944547,310.0
3944.0,3993.0,3800.02,3806.0,112.916514,438156.27108047,454.0
3800.01,3890.0,3800.0,3869.99,110.946635,425836.36189146,816.0
3846.58,3889.98,3418.0,3481.02,473.817763,1733255.43633448,2435.0
3481.02,3666.0,3395.0,3518.0,423.17729,1489372.27534429,2146.0
3522.0,3533.97,3263.0,3370.0,326.160515,1106714.97380294,1686.0
3368.73,3450.0,3165.13,3189.02,218.002826,720926.08615461,1529.0
3188.01,3460.0,3152.01,3370.0,251.702648,847379.59733367,1731.0
3369.99,3380.0,3031.0,3148.0,304.935126,965684.24154397,1434.0
3148.0,3148.0,2817.0,2919.0,364.653505,1079492.71677013,1709.0
2870.9,3856.0,2870.9,3830.0,682.85976,2362499.2709155,3101.0
3839.94,3839.98,3483.0,3702.66,245.94793,892142.32001716,1425.0
3702.3,3799.9,3658.04,3700.0,118.767523,441569.04011403,1045.0
3674.01,3950.0,3658.04,3770.0,170.706041,649331.1574606,1698.0
3769.94,3935.93,3753.23,3847.9,257.804778,985971.0839853,1488.0
3847.92,3850.0,3470.66,3630.06,408.649993,1492553.7155596,2008.0
3630.06,3800.0,3531.01,3567.11,210.078501,766451.6942741,1722.0
3567.03,3714.99,3531.05,3664.0,172.877633,626059.51856367,1209.0
3664.01,3715.0,3600.6,3714.95,77.447007,284511.07736956,684.0
3685.23,3709.94,3580.0,3580.0,125.957599,456179.25320811,955.0
3568.07,3604.79,3550.0,3559.0,85.893398,305999.53271408,821.0
3559.0,3609.39,3499.02,3499.03,160.755572,568689.56449441,1576.0
3499.03,3660.0,3499.03,3637.33,135.94399,491585.1812336,1076.0
3649.49,3748.21,3638.05,3720.0,85.074217,315462.37170888,992.0
3700.13,3739.0,3679.15,3699.99,88.546434,328574.37523558,935.0
3690.0,3850.0,3690.0,3830.0,129.763678,491232.77865682,1272.0
3830.0,4000.0,3760.0,3950.32,227.684713,885643.34212919,1647.0
3976.58,3976.58,3848.33,3929.33,150.278915,590682.93559886,1170.0
3932.98,4123.2,3890.0,4030.33,291.976291,1179529.36972604,2225.0
4048.99,4048.99,3928.33,3969.48,113.494213,450874.49343967,1062.0
