o,h,l,c,v,qav,num_trades,EMA_7,EMA_25,EMA_99,MACD,Signal_Line,MACD_above_Signal,MACD_diff_Signal,RSI,Middle_Band,STD,Upper_Band,Lower_Band
4086.92,4283.0,4072.45,4274.32,103.909898,437468.94007686,528.0,4378.263101823746,4339.197093127025,4153.317036100349,62.64785006491729,100.95522603807896,0,-38.30737597316167,48.05831052998692,4399.4635,222.52060044846982,4844.5047008969395,3954.42229910306
4246.43,4280.0,4158.84,4182.27,86.75553,366294.16517112,635.0,4329.264826367809,4327.1257782711,4153.896095378342,40.90319739768165,88.9448203099995,0,-48.04162291231785,47.17646200844349,4409.365,206.931796836797,4823.228593673593,3995.5014063264057
4249.49,4280.0,4040.8,4165.5,284.982429,1180531.31083914,1406.0,4288.323619775857,4314.6930260964,4154.1281734707745,22.062877531355298,75.56843175427066,0,-53.505554222915364,41.336265298416286,4411.7865,203.5877025878532,4818.961905175706,4004.611094824294
3775.47,3991.01,3765.13,3879.81,136.246089,531095.39018083,584.0,4186.195214831893,4281.240485627446,4148.641810001359,-15.73957111071104,57.306831181274326,0,-73.04640229198537,36.95378493334021,4394.9735,232.44145941618606,4859.856418832373,3930.090581167628
3522.0,3533.97,3263.0,3370.0,326.160515,1106714.97380294,1686.0,3982.14641112392,4211.145063656104,4133.068973801332,-85.84610983471521,28.676242978076424,0,-114.52235281279164,26.817336445826186,4348.115,326.5044893461009,5001.1239786922015,3695.106021307798
3839.94,3839.98,3483.0,3702.66,245.94793,892142.32001716,1425.0,3912.27480834294,4172.03082799025,4124.460794325305,-113.25760188531967,0.28947400539720647,0,-113.54707589071688,31.99483797332087,4318.572,357.0105568039606,5032.593113607922,3604.550886392079
3567.03,3714.99,3531.05,3664.0,172.877633,626059.51856367,1209.0,3850.206106257205,4132.951533529462,4115.251578438799,-136.5271457781264,-27.073849951307515,0,-109.45329582681887,35.00008867606631,4283.3515,385.4488306715342,5054.249161343068,3512.453838656931
3649.49,3748.21,3638.05,3720.0,85.074217,315462.37170888,992.0,3817.654579692904,4101.186030950273,4107.346546870022,-148.73516853427736,-51.406113667901494,0,-97.32905486637587,35.836933915028595,4253.269,405.27081404258234,5063.810628085165,3442.7273719148357
4048.99,4048.99,3928.33,3969.48,113.494213,450874.49343967,1062.0,3855.610934769678,4091.054797800252,4104.589215932622,-136.70333259070094,-68.46555745246138,0,-68.23777513823956,45.78820719596283,4223.9655,403.44781915874563,5030.861138317491,3417.069861682509
3970.0,4014.56,3871.99,3890.01,122.480176,484441.10193394,1165.0,3864.2107010772584,4075.589813354079,4100.297631613969,-132.0582949415657,-81.18410495028225,0,-50.874189991283444,39.460018391120386,4191.625,402.97334977181356,4997.571699543627,3385.678300456373
3997.5,4039.99,3962.76,3962.93,105.221655,421163.63706076,1016.0,3888.890525807944,4066.923673865304,4097.55027898169,-121.09710253906314,-89.16670446803843,0,-31.93039807102471,36.9533860758236,4154.8330000000005,387.52896113302654,4929.890922266053,3379.7750777339475
3730.0,3747.48,3592.62,3605.03,205.53549,750607.12594148,1719.0,3817.9253943559584,4031.3933912602806,4087.6998734020563,-139.67967712355176,-99.2692989991411,0,-40.410378124410656,29.02894975035767,4094.4224999999997,373.40469153700093,4841.231883074001,3347.613116925998
3527.97,3590.0,3514.08,3590.0,109.500907,389028.7776681,1192.0,3760.944045766969,3997.4400534710285,4077.745875934015,-153.84585747181427,-110.18461069367574,0,-43.66124677813853,36.30583133630034,4048.4339999999997,376.18723499426756,4800.808469988535,3296.0595300114646
3746.37,3779.52,3700.0,3779.5,146.838024,549727.91852777,1880.0,3765.5830343252264,3980.675433973257,4071.780958415335,-148.0746784572416,-117.76262424638892,0,-30.312054210852665,39.764996373933755,4010.959,362.8914716101346,4736.741943220269,3285.1760567797305
3707.89,3707.9,3624.38,3687.36,93.458592,343255.7226861,1344.0,3746.0272757439197,3958.1127082830067,4064.092539247028,-149.21583816426028,-124.05326702996321,0,-25.162571134297067,37.710629459649596,3985.1434999999997,366.8044198246464,4718.7523396492925,3251.534660350707
3915.01,3979.87,3887.8,3930.36,109.064075,427759.78737824,1680.0,3792.11045680794,3955.9778845689293,4061.4178884620874,-129.02482838298738,-125.04757930056805,0,-3.977249082419334,45.03924727159584,3959.5375,350.7207149927143,4660.978929985428,3258.0960700145715
3925.0,3939.99,3890.98,3906.13,40.087717,156769.05006488,881.0,3820.6153426059554,3952.143431909781,4058.3121306928456,-113.66817025369346,-122.77169749119312,1,9.103527237499662,44.90730377892707,3923.864,314.45970904829375,4552.783418096587,3294.9445819034127
4099.8,4200.0,4075.05,4190.0,135.406179,558905.22630977,1705.0,3912.9615069544666,3970.4400909936444,4060.945888078989,-77.69633644580017,-113.75662528211454,1,36.06028883631437,56.0948963912806,3895.6535000000003,255.9040227419785,4407.461545483958,3383.8454545160434
4133.03,4209.68,4110.0,4149.99,118.435878,493032.27578454,1808.0,3972.2186302158498,3984.251622455672,4062.7267703174093,-51.81952834621643,-101.36920589493494,1,49.549677548718506,68.79611734711091,3893.6525,253.62754855921824,4400.907597118437,3386.3974028815637
4145.03,4259.99,4101.01,4179.99,152.938417,638820.42821087,1827.0,4024.1614726618873,3999.308420728313,4065.072034911061,-28.561977517810647,-86.80776021951009,1,58.24578270169944,63.46708347204903,3889.9669999999996,248.60611816793053,4387.179236335861,3392.7547636641384
