o,h,l,c,v,qav,num_trades,EMA_7,EMA_25,EMA_99,MACD,Signal_Line,MACD_above_Signal,MACD_diff_Signal,RSI,Middle_Band,STD,Upper_Band,Lower_Band
289.53,292.76,287.11,289.66,1810.46358,523937.2053084,1378.0,296.1225176409508,299.46558416684,307.8618027679101,-2.2754903886147986,-1.8109600825600007,0,-0.46453030605479784,41.4107365792759,297.207,6.677735276352678,310.56247055270535,283.85152944729464
299.64,320.0,292.5,314.13,7159.65008,2190753.3277717,5252.0,300.62438823071307,300.5936161540062,307.98716671255187,-0.7642661468055962,-1.60162129540912,1,0.8373551486035238,59.81735159817354,297.6125,7.443404622107653,312.49930924421534,282.7256907557847
327.55,328.89,322.1,325.63,2097.12599,683088.9120259,902.0,306.8757911730348,302.5194918344673,308.3400233783008,1.3458299531508828,-1.0121310456971195,1,2.3579609988480024,65.45488970936287,298.64300000000003,9.628772179473533,317.9005443589471,279.38545564105294
300.98,306.47,285.82,294.72,3420.51166,1014535.1775617,2028.0,303.83684337977616,301.9195309241237,308.0676229107348,0.5179470690353014,-0.7061154227506353,1,1.2240624917859368,50.1921371563701,298.562,9.655940958263292,317.8738819165266,279.2501180834734
298.43,314.99,294.22,313.87,2305.40604,702943.6670704,1997.0,306.34513253483215,302.8387977761142,308.1836704525201,1.391053674710804,-0.2866816032583475,1,1.6777352779691515,56.44732576985413,299.72749999999996,10.03845703964685,319.8044140792937,279.65058592070625
306.42,316.99,303.03,314.0,2460.36013,766132.9625529,1263.0,308.2588494011241,303.69735179333617,308.29999704346966,2.0696294634911965,0.1845806100915613,1,1.8850488533996352,53.12587217415573,301.258,9.745669807662978,320.74933961532594,281.766660384674
310.94,313.37,305.0,310.12,2171.09264,672902.2229044,1291.0,308.72413705084307,304.1914016553872,308.33639710260024,2.2681759707865012,0.6012996822305493,1,1.6668762885559518,51.72905768054896,301.593,9.937170570507597,321.4673411410152,281.71865885898484
326.97,329.61,324.5,327.83,1196.83174,391758.587427,1084.0,313.5006027881323,306.00975537420356,308.7262691605482,3.810647724698356,1.2431692907241108,1,2.5674784339742454,56.8688156377102,303.22400000000005,11.403217643786919,326.0304352875739,280.4175647124262
327.08,333.89,325.01,328.2,1800.67421,592821.3889716,1266.0,317.17545209109926,307.71669726849564,309.1157437773373,5.0052264752024485,1.9955807276197786,1,3.00964574758267,59.938818430947684,304.985,12.412796241230692,329.8105924824614,280.1594075175386
329.8,334.75,325.6,330.05,2109.03978,698378.8289934,1645.0,320.39408906832443,309.43464363245755,309.53442890179053,6.031688727304527,2.802802327556728,1,3.2288863997477986,64.44459377729993,306.77750000000003,13.328145081585246,333.4337901631705,280.12120983682956
332.57,333.69,328.82,331.53,2359.11261,781628.3625712,1522.0,323.1780668012433,311.1342864299608,309.97434032375475,6.885222529067619,3.6192863678589067,1,3.265936161208712,61.77299328083232,308.65500000000003,14.055453521114377,336.7659070422288,280.5440929577713
334.49,339.01,332.52,336.62,1883.50722,631532.4968947,1442.0,326.53855010093247,313.09472593534844,310.50725351727965,7.881521404761656,4.471733375239457,1,3.4097880295221996,63.58977958725259,310.23400000000004,15.342867158115377,340.9197343162308,279.5482656837693
356.81,364.49,347.54,349.12,3193.73372,1133784.1505268,1674.0,332.1839125756993,315.86590086339856,311.279508446934,9.569430536376501,5.491272807466866,1,4.078157728909635,68.1676915955829,312.4385,17.56268600575775,347.56387201151546,277.3131279884845
362.89,368.0,362.5,367.44,2983.00748,1088353.8976633,1711.0,340.99793443177447,319.8331392585218,312.4027182779953,12.244237627682992,6.841865771510092,1,5.4023718561729,70.0454234335138,315.5505,21.324052511807263,358.1986050236145,272.9023949763855
371.6,375.5,363.1,363.12,2643.65625,974565.6187638,1454.0,346.5284508238309,323.16289777709704,313.41706391243537,13.855733353034907,8.244639287815055,1,5.611094065219852,74.2154535864979,318.856,23.3285116722457,365.5130233444914,272.1989766555086
365.18,369.87,363.25,368.78,1965.32117,719213.3733031,1295.0,352.09133811787314,326.6719056403973,314.52432263418666,15.411911105341574,9.67809365132036,1,5.733817454021214,70.56521411906375,322.942,24.588916972789512,372.11983394557905,273.76416605442097
411.5,424.0,407.11,417.3,4292.16658,1785912.2945063,2099.0,368.3935035884048,333.6432975142129,316.5798361815029,20.326045685008182,11.807684058057927,1,8.518361626950256,76.97922184943201,328.86,31.71797066582122,392.29594133164244,265.4240586683576
454.02,462.88,445.05,457.87,5014.16259,2267555.962011,2667.0,390.7626276913036,343.1991977054273,319.40563945787284,27.180868553008963,14.882320957048135,1,12.298547595960828,95.43302701197439,336.8585,42.00257013126198,420.863640262524,252.853359737476
468.88,470.0,460.0,461.52,2778.0484,1288367.8735339,1819.0,408.4519707684777,352.3007978819329,322.24792666871537,32.53287087348809,18.41243094033613,1,14.120439933151964,95.00152392563244,345.226,49.117465261190084,443.4609305223802,246.99106947761982
453.21,455.82,445.0,447.03,3572.36615,1604711.1387416,2599.0,418.09647807635827,359.5876595833227,324.7435681353411,35.199392681573045,21.769823288583513,1,13.429569392989531,87.2821030211311,352.427,53.00583792078205,458.43867584156413,246.4153241584359
473.09,478.7,460.29,470.0,3283.15106,1536846.9742093,2222.0,431.07235855726867,368.08091653845173,327.64869677263425,38.71977993655048,25.15981461817691,1,13.559965318373571,90.4759493670886,361.444,56.95813165918692,475.3602633183739,247.52773668162618
466.05,468.96,459.31,465.77,3313.70309,1541665.0156393,1561.0,439.7467689179515,375.59546142010936,330.41112283718155,40.69923114843817,28.267697924229164,1,12.431533224209009,87.47962178024127,369.02599999999995,60.321904758422704,489.66980951684536,248.38219048315455
484.55,488.04,385.0,419.76,10129.21025,4548116.2976752,4386.0,434.7500766884636,378.9927336185625,332.1981003804379,38.115960945234065,30.23735052843015,1,7.878610416803916,69.93381520508578,373.73249999999996,60.42987008660718,494.59224017321435,252.8727598267856
392.76,433.0,389.0,431.09,6099.05068,2474822.1809062,3213.0,433.83505751634766,383.0002156479039,334.17593837282914,36.56147903736496,31.502176230217113,1,5.059302807147848,71.12570042652838,380.55100000000004,58.71460124149172,497.9802024829835,263.1217975170166
448.23,456.0,443.73,454.58,3693.63831,1660839.6647297,2528.0,439.0212931372607,388.5063529057574,336.58401960537253,36.80077122877964,32.56189522992962,1,4.23887599885002,73.55925713191652,387.5865,58.73430605836685,505.0551121167337,270.1178878832663
450.02,462.98,448.9,457.7,2564.45986,1171658.5874764,2058.0,443.69096985294556,393.8289411437761,339.00633921326505,36.817757746511575,33.41306773324601,1,3.404690013265565,73.35828381819584,394.7715,58.04403992931405,510.8595798586281,278.6834201413719
475.99,481.1,473.47,479.25,3321.87469,1585766.3145251,3059.0,452.5807273897092,400.3997918250241,341.81121242899974,38.130579004033564,34.356569987403525,1,3.774009016630039,74.25716735637326,403.22799999999995,57.37851859179959,517.9850371835992,288.47096281640074
459.5,460.02,447.5,454.48,3467.26468,1577491.8191911,3001.0,453.0555455422819,404.55980783848383,344.0645881804198,36.74865173851339,34.834986337625494,1,1.9136654008878935,65.84389107324887,409.56049999999993,55.57995260267689,520.7204052053537,298.40059479464617
456.19,459.89,445.21,454.98,4691.70273,2128999.0807122,3027.0,453.53665915671144,408.4382841586005,346.2828964168114,35.28704317733934,34.925397705568265,1,0.36164547177107664,66.95709960865392,415.8995,52.9812444942351,521.8619889884702,309.93701101152976
420.62,434.6,410.91,423.13,5236.86773,2237697.0398957,3540.0,445.9349943675336,409.56841614640047,347.81983848847517,31.19903597781729,34.18012536001807,0,-2.9810893822007785,59.148291533411886,420.5535,48.98022278376643,518.5139455675328,322.5930544324671
396.52,406.0,375.01,405.25,7927.40838,3133750.4471943,5757.0,435.7637457756502,409.23623028898504,348.96844171870566,26.214311978444584,32.586962683703376,0,-6.372650705258792,47.73844825644682,424.23949999999996,44.49687386713131,513.2332477342626,335.24575226573734
436.85,456.78,433.28,441.92,5315.972,2380261.3612631,5593.0,437.30280933173765,411.7503664206016,350.82747288433154,24.93540500482277,31.05665114792726,0,-6.121246143104489,46.962020494457356,429.5045,39.53711294134752,508.57872588269504,350.430274117305
474.05,488.0,426.4,454.19,13174.90169,6010323.7655589,9712.0,441.5246069988033,415.0149536190169,352.8947234266449,24.628051620876022,29.770931242517015,0,-5.1428796216409935,48.648249917013985,434.758,35.015938866991306,504.7898777339826,364.72612226601734
443.53,452.0,437.64,444.0,4198.20029,1867133.7133843,4454.0,442.14345524910243,417.2445725714002,354.716828958112,23.293708637773875,28.47548672156839,0,-5.181778083794516,49.43222276355733,438.58600000000007,31.251806920392706,501.0896138407855,376.08238615921465
465.51,474.99,465.51,470.98,3640.42147,1708734.0321594,3577.0,449.35259143682686,421.3780669889848,357.04209237894975,24.135078566821733,27.60740509061906,0,-3.472326523797328,50.18091862354158,443.979,26.48673787309281,496.9524757461856,391.0055242538144
609.5,623.79,550.0,587.99,11091.63208,6522786.0275194,13354.0,484.0119435776201,434.1943695282937,361.66105053137073,33.85335895491545,28.85659586347834,1,4.99676309143711,65.92982639069913,454.93950000000007,37.00001827524495,528.93953655049,380.9394634495102
679.61,693.45,608.19,665.52,11898.45583,7758640.3996769,11664.0,529.388957683215,451.98864879534807,367.73822952074335,47.2663323763004,32.53854316604276,1,14.72778921025764,79.59965312906489,467.3505,58.87443475871288,585.0993695174258,349.60163048257425
667.55,672.0,644.4,665.08,5695.20585,3768777.5088916,5766.0,563.3117182624113,468.380291195706,373.6850649303285,57.201324858852104,37.471099504604624,1,19.73022535424748,78.94124922696352,477.71100000000007,73.52695831426334,624.7649166285267,330.6570833714734
684.51,685.0,669.5,674.48,4385.32605,2974736.3774899,4953.0,591.1037886968085,484.2341149498825,379.70096363172195,65.08314147784444,42.993507899252585,1,22.08963357859185,78.18074636046751,488.35900000000004,85.50357061796372,659.3661412359274,317.35185876407263
673.4,688.18,670.0,671.61,3477.50776,2359723.9312731,3337.0,611.2303415226064,498.64764456912235,385.5391443590875,70.28771983770633,48.45235028694334,1,21.83536955076299,77.43068913338976,499.588,94.10447305214092,687.7969461042819,311.3790538957182
704.53,719.99,695.95,711.49,4030.16867,2849549.491598,5111.0,636.2952561419547,515.0201334484207,392.05816147190575,76.74569183090063,54.111018595734805,1,22.63467323516582,78.4440525181266,511.6625,104.97331038612207,721.6091207722442,301.71587922775586
723.98,768.0,722.05,762.12,6067.80381,4509203.6521312,5312.0,667.751442106466,534.0278154908499,399.4593982424676,84.96962211809387,60.28273930020663,1,24.686882817887238,85.43423174383783,526.4799999999999,118.23264167688556,762.9452833537711,290.01471664622875
788.94,835.0,782.95,821.79,6031.86351,4895008.7183052,5756.0,706.2610815798495,556.1633681453999,407.9060102776183,95.20455756113017,67.26710295239134,1,27.937454608738832,87.18146248504875,546.5815,132.4540884221281,811.4896768442562,281.6733231557438
794.97,810.0,763.0,805.41,7364.49371,5806945.6994117,6684.0,731.0483111848871,575.3361859803691,415.8560900720659,100.83176273660172,73.98003490923341,1,26.851727827368308,90.00418585182085,565.2975,141.4187060460424,848.1349120920847,282.46008790791524
724.09,770.0,720.04,744.15,14293.46123,10702645.2381708,10105.0,734.3237333886653,588.3218639818792,422.4219682706246,99.20462419616933,79.0249527666206,1,20.179671429548733,82.51275950727197,579.7760000000001,144.28098876844487,868.3379775368899,291.2140224631103
611.31,655.22,563.71,629.96,20953.11556,12862275.4663953,17966.0,708.232800041499,591.5247975217346,426.57272890521205,87.69008973633004,80.7579801605625,1,6.932109575767541,65.7040253883414,588.389,141.72903713554447,871.847074271089,304.93092572891106
685.18,710.0,675.32,694.0,10744.66074,7439741.3398,10680.0,704.6746000311242,599.4075054046781,431.92127432710777,82.7780175557001,81.16198763959002,1,1.6160299161100795,68.43359417036912,599.1265000000001,141.1590672843196,881.4446345686392,316.80836543136087
609.06,628.0,589.6,597.7,10053.53701,6150794.93043,13561.0,677.9309500233433,599.2761588350875,435.2368488405656,70.30413744203622,78.99041760007927,0,-8.686280158043047,60.43335415026203,606.2875,137.00664405230066,880.3007881046013,332.2742118953987
703.99,725.0,697.0,722.04,9775.89966,6976556.401141,10879.0,688.9582125175075,608.7195312323885,440.9729118637543,69.64882809438461,77.12209969894035,0,-7.473271604555734,65.05264167685925,619.6405000000001,134.47445840342647,888.589416806853,350.69158319314715
741.1,750.0,732.32,744.42,7846.30807,5814601.8952316,12075.0,702.8236593881306,619.1580288298971,447.04185362647917,70.12698939643099,75.72307763843848,0,-5.596088242007497,60.57945922549404,635.705,128.8361675070121,893.3773350140243,378.0326649859758
732.8,743.63,693.18,721.75,12062.38436,8683075.1076077,15473.0,707.555244541098,627.049718919905,452.5360165539496,67.89401617841679,74.15726534643414,0,-6.263249168017353,54.10767769742129,651.53,118.02364294808476,887.5772858961695,415.48271410383046
701.0,714.68,667.87,688.2,9691.44953,6670247.2545498,15113.0,702.7164334058234,631.7535866952969,457.2492962228706,62.69446147850908,71.86470457284913,0,-9.170243094340051,51.611015106750656,663.8439999999999,107.3699140649556,878.5838281299111,449.10417187008875
750.66,757.87,734.0,747.96,10489.70954,7809925.6739237,14885.0,714.0273250543676,640.6925415648894,463.0635102984132,62.673448975977294,70.02645345347477,0,-7.353004477497478,54.78435253672258,678.5325,96.74799918371852,872.0284983674371,485.036501632563
